,0
2024-04-16 00:00:00-04:00,7430439936
2024-04-17 00:00:00-04:00,7430439936
2024-04-18 00:00:00-04:00,7430439936
2024-04-18 00:00:00-04:00,7481690112
2024-04-19 00:00:00-04:00,7430439936
2024-04-20 00:00:00-04:00,7430439936
2024-04-23 00:00:00-04:00,7430439936
2024-04-25 00:00:00-04:00,7617019904
2024-04-25 00:00:00-04:00,7430439936
2024-04-26 00:00:00-04:00,7430439936
2024-04-27 00:00:00-04:00,7432309760
2024-04-30 00:00:00-04:00,7432309760
2024-05-01 00:00:00-04:00,7432309760
2024-05-01 00:00:00-04:00,7678949888
2024-05-07 00:00:00-04:00,7432309760
2024-05-10 00:00:00-04:00,7432309760
2024-05-11 00:00:00-04:00,7432309760
